"Fullname","PowerShell51","PowerShell61","PSStandard5","ExclusionReason"
"System.Management.Automation.ErrorCategory","True","True","True",""
"System.Management.Automation.ErrorCategoryInfo","True","True","True",""
"System.Management.Automation.ErrorDetails","True","True","True",""
"System.Management.Automation.ErrorRecord","True","True","True",""
"System.Management.Automation.ExitException","True","True","True",""
"System.Management.Automation.ExperimentAction","False","True","False",""
"System.Management.Automation.ExperimentalAttribute","False","True","False",""
"System.Management.Automation.ExperimentalFeature","False","True","False",""
"System.Management.Automation.ExtendedTypeDefinition","True","True","True",""
"System.Management.Automation.ExtendedTypeSystemException","True","True","True",""
"System.Management.Automation.ExternalScriptInfo","True","True","True",""
"System.Management.Automation.FilterInfo","True","True","True",""
"System.Management.Automation.FlagsExpression`1","True","True","True",""
"System.Management.Automation.FlowControlException","True","True","True",""
"System.Management.Automation.FormatViewDefinition","True","True","True",""
"System.Management.Automation.ForwardedEventArgs","True","True","True",""
"System.Management.Automation.FunctionInfo","True","True","True",""
"System.Management.Automation.GetSymmetricEncryptionKey","True","True","False","Candidate for restoration - corefx now supports secure string"
"System.Management.Automation.GettingValueExceptionEventArgs","True","True","True",""
"System.Management.Automation.GetValueException","True","True","True",""
"System.Management.Automation.GetValueInvocationException","True","True","True",""
"System.Management.Automation.HaltCommandException","True","True","True",""
"System.Management.Automation.HiddenAttribute","True","True","True",""
"System.Management.Automation.Host.BufferCell","True","True","True",""
"System.Management.Automation.Host.BufferCellType","True","True","True",""
"System.Management.Automation.Host.ChoiceDescription","True","True","True",""
"System.Management.Automation.Host.ControlKeyStates","True","True","True",""
"System.Management.Automation.Host.Coordinates","True","True","True",""
"System.Management.Automation.Host.FieldDescription","True","True","True",""
"System.Management.Automation.Host.HostException","True","True","True",""
"System.Management.Automation.Host.IHostSupportsInteractiveSession","True","True","True",""
"System.Management.Automation.Host.IHostUISupportsMultipleChoiceSelection","True","True","True",""
"System.Management.Automation.Host.KeyInfo","True","True","True",""
"System.Management.Automation.Host.PromptingException","True","True","True",""
"System.Management.Automation.Host.PSHost","True","True","True",""
"System.Management.Automation.Host.PSHostRawUserInterface","True","True","True",""
"System.Management.Automation.Host.PSHostUserInterface","True","True","True",""
"System.Management.Automation.Host.ReadKeyOptions","True","True","True",""
"System.Management.Automation.Host.Rectangle","True","True","True",""
"System.Management.Automation.Host.Size","True","True","True",""
"System.Management.Automation.HostInformationMessage","True","True","True",""
"System.Management.Automation.HostUtilities","True","True","True",""
"System.Management.Automation.IArgumentCompleter","True","True","True",""
"System.Management.Automation.IBackgroundDispatcher","True","False","False",""
"System.Management.Automation.ICommandRuntime","True","True","True",""
"System.Management.Automation.ICommandRuntime2","True","True","True",""
"System.Management.Automation.IContainsErrorRecord","True","True","True",""
"System.Management.Automation.IDynamicParameters","True","True","True",""
"System.Management.Automation.IJobDebugger","True","True","True",""
"System.Management.Automation.IModuleAssemblyCleanup","True","True","True",""
"System.Management.Automation.IModuleAssemblyInitializer","True","True","True",""
"System.Management.Automation.ImplementedAsType","True","True","True",""
"System.Management.Automation.IncompleteParseException","True","True","True",""
"System.Management.Automation.InformationalRecord","True","True","True",""
"System.Management.Automation.InformationRecord","True","True","True",""
"System.Management.Automation.Internal.AlternateDataStreamUtilities","True","False","False",""
"System.Management.Automation.Internal.AlternateStreamData","True","False","False",""
"System.Management.Automation.Internal.AutomationNull","True","True","True",""
"System.Management.Automation.Internal.ClassOps","True","True","True",""
"System.Management.Automation.Internal.CmdletMetadataAttribute","True","True","True",""
"System.Management.Automation.Internal.CommonParameters","True","True","True",""
"System.Management.Automation.Internal.DebuggerUtils","True","True","True",""
"System.Management.Automation.Internal.IAstToWorkflowConverter","True","False","False",""
"System.Management.Automation.Internal.InternalCommand","True","True","True",""
"System.Management.Automation.Internal.InternalTestHooks","True","True","True",""
"System.Management.Automation.Internal.ParsingBaseAttribute","True","True","True",""
"System.Management.Automation.Internal.PSEmbeddedMonitorRunspaceInfo","True","True","True",""
"System.Management.Automation.Internal.PSMonitorRunspaceInfo","True","True","True",""
"System.Management.Automation.Internal.PSMonitorRunspaceType","True","True","True",""
"System.Management.Automation.Internal.PSStandaloneMonitorRunspaceInfo","True","True","True",""
"System.Management.Automation.Internal.ScriptBlockMemberMethodWrapper","True","True","True",""
"System.Management.Automation.Internal.SecuritySupport","True","True","True",""
"System.Management.Automation.Internal.SessionStateKeeper","True","True","True",""
"System.Management.Automation.Internal.ShouldProcessParameters","True","True","True",""
"System.Management.Automation.Internal.TransactionParameters","True","True","False","Transactions not supported in PS Core"
"System.Management.Automation.InvalidJobStateException","True","True","True",""
"System.Management.Automation.InvalidPowerShellStateException","True","True","True",""
"System.Management.Automation.InvocationInfo","True","True","True",""
"System.Management.Automation.IResourceSupplier","True","True","True",""
"System.Management.Automation.ItemCmdletProviderIntrinsics","True","True","True",""
"System.Management.Automation.ItemNotFoundException","True","True","True",""
"System.Management.Automation.IValidateSetValuesGenerator","False","True","False",""
"System.Management.Automation.Job","True","True","True",""
"System.Management.Automation.Job2","True","True","True",""
"System.Management.Automation.JobDataAddedEventArgs","True","True","True",""
"System.Management.Automation.JobDefinition","True","True","True",""
"System.Management.Automation.JobFailedException","True","True","True",""
"System.Management.Automation.JobIdentifier","True","True","True",""
"System.Management.Automation.JobInvocationInfo","True","True","True",""
"System.Management.Automation.JobManager","True","True","True",""
"System.Management.Automation.JobRepository","True","True","True",""
"System.Management.Automation.JobSourceAdapter","True","True","True",""
"System.Management.Automation.JobState","True","True","True",""
"System.Management.Automation.JobStateEventArgs","True","True","True",""
"System.Management.Automation.JobStateInfo","True","True","True",""
"System.Management.Automation.JobThreadOptions","True","True","True",""
"System.Management.Automation.Language.ArrayExpressionAst","True","True","True",""
"System.Management.Automation.Language.ArrayLiteralAst","True","True","True",""
"System.Management.Automation.Language.ArrayTypeName","True","True","True",""
"System.Management.Automation.Language.AssignmentStatementAst","True","True","True",""
"System.Management.Automation.Language.Ast","True","True","True",""
"System.Management.Automation.Language.AstVisitAction","True","True","True",""
"System.Management.Automation.Language.AstVisitor","True","True","True",""
"System.Management.Automation.Language.AstVisitor2","True","True","True",""
"System.Management.Automation.Language.AttributeAst","True","True","True",""
"System.Management.Automation.Language.AttributeBaseAst","True","True","True",""
"System.Management.Automation.Language.AttributedExpressionAst","True","True","True",""
"System.Management.Automation.Language.BaseCtorInvokeMemberExpressionAst","True","True","True",""
"System.Management.Automation.Language.BinaryExpressionAst","True","True","True",""
"System.Management.Automation.Language.BlockStatementAst","True","True","True",""
"System.Management.Automation.Language.BreakStatementAst","True","True","True",""
"System.Management.Automation.Language.CatchClauseAst","True","True","True",""
"System.Management.Automation.Language.CodeGeneration","True","True","True",""
"System.Management.Automation.Language.CommandAst","True","True","True",""
"System.Management.Automation.Language.CommandBaseAst","True","True","True",""
"System.Management.Automation.Language.CommandElementAst","True","True","True",""
"System.Management.Automation.Language.CommandExpressionAst","True","True","True",""
"System.Management.Automation.Language.CommandParameterAst","True","True","True",""
"System.Management.Automation.Language.CommentHelpInfo","True","True","True",""
"System.Management.Automation.Language.ConfigurationDefinitionAst","True","True","True",""
"System.Management.Automation.Language.ConfigurationType","True","True","True",""
"System.Management.Automation.Language.ConstantExpressionAst","True","True","True",""
"System.Management.Automation.Language.ContinueStatementAst","True","True","True",""
"System.Management.Automation.Language.ConvertExpressionAst","True","True","True",""
"System.Management.Automation.Language.DataStatementAst","True","True","True",""
"System.Management.Automation.Language.DefaultCustomAstVisitor","True","True","True",""
"System.Management.Automation.Language.DefaultCustomAstVisitor2","True","True","True",""
"System.Management.Automation.Language.DoUntilStatementAst","True","True","True",""
"System.Management.Automation.Language.DoWhileStatementAst","True","True","True",""
"System.Management.Automation.Language.DynamicKeyword","True","True","True",""
